epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1948,1.20227,2.51973,1.38924,0.70417,0.20463,0.2896,0.16856,1.50929,3.14976,1.69771,0.00065641,0.00065641,0.00065641
2,65.0422,1.35269,2.09254,1.48148,0.50492,0.37452,0.38077,0.20043,1.56215,4.49393,1.80414,0.00129688,0.00129688,0.00129688
3,100.252,1.40215,1.99038,1.53376,0.46187,0.34749,0.32513,0.16468,1.78737,2.52588,1.90504,0.00191095,0.00191095,0.00191095
4,129.626,1.43299,1.89898,1.54783,0.49137,0.35521,0.33861,0.20259,1.49027,2.16829,1.60361,0.0018812,0.0018812,0.0018812
5,157.739,1.37716,1.72192,1.50597,0.44716,0.40927,0.37536,0.1898,1.68296,2.15861,1.73601,0.0018416,0.0018416,0.0018416
6,186.056,1.3546,1.64649,1.4869,0.69755,0.4556,0.55067,0.3342,1.47852,1.74886,1.62893,0.001802,0.001802,0.001802
7,214.316,1.32325,1.61132,1.47659,0.7018,0.5444,0.59687,0.35191,1.49214,1.62521,1.60337,0.0017624,0.0017624,0.0017624
8,242.656,1.29039,1.50162,1.45997,0.68454,0.54054,0.57568,0.38388,1.31698,1.55019,1.49998,0.0017228,0.0017228,0.0017228
9,270.856,1.24584,1.43943,1.41796,0.74574,0.52092,0.58568,0.36519,1.38164,1.62581,1.54852,0.0016832,0.0016832,0.0016832
10,299.172,1.25671,1.40619,1.41218,0.6898,0.54826,0.60647,0.37408,1.34755,1.48219,1.49108,0.0016436,0.0016436,0.0016436
11,327.34,1.19583,1.3474,1.37947,0.75924,0.5444,0.60742,0.38762,1.40042,1.52643,1.56663,0.001604,0.001604,0.001604
12,355.375,1.18345,1.37489,1.3687,0.69843,0.47876,0.54314,0.35158,1.33025,1.58583,1.48329,0.0015644,0.0015644,0.0015644
13,383.571,1.20684,1.34761,1.37811,0.71885,0.52896,0.58223,0.38517,1.25415,1.51359,1.4066,0.0015248,0.0015248,0.0015248
14,412.061,1.17508,1.31368,1.36114,0.80225,0.61088,0.67079,0.45541,1.24703,1.27973,1.44451,0.0014852,0.0014852,0.0014852
15,440.714,1.15258,1.23278,1.34077,0.78582,0.59073,0.68338,0.46872,1.18858,1.32926,1.40164,0.0014456,0.0014456,0.0014456
16,469.139,1.15494,1.24842,1.32858,0.75517,0.59073,0.67029,0.4449,1.25214,1.28165,1.46483,0.001406,0.001406,0.001406
17,497.847,1.13925,1.20831,1.33118,0.77252,0.61776,0.67863,0.46701,1.22542,1.27372,1.41405,0.0013664,0.0013664,0.0013664
18,526.4,1.1163,1.184,1.31429,0.80575,0.55598,0.65782,0.43012,1.21126,1.33578,1.43088,0.0013268,0.0013268,0.0013268
19,555.062,1.08672,1.1129,1.29836,0.75847,0.62162,0.69139,0.46582,1.19728,1.23246,1.41129,0.0012872,0.0012872,0.0012872
20,583.598,1.0975,1.15054,1.31185,0.77834,0.60618,0.68646,0.46956,1.19613,1.22319,1.37589,0.0012476,0.0012476,0.0012476
21,612.183,1.07271,1.10774,1.28017,0.85439,0.58904,0.70014,0.4754,1.23332,1.31666,1.40428,0.001208,0.001208,0.001208
22,640.694,1.04654,1.10396,1.28039,0.68878,0.61776,0.67129,0.44874,1.2312,1.26258,1.4258,0.0011684,0.0011684,0.0011684
23,669.431,1.07789,1.12405,1.2974,0.798,0.62535,0.68944,0.47496,1.16232,1.23182,1.34849,0.0011288,0.0011288,0.0011288
24,697.829,1.0443,1.09606,1.26456,0.8554,0.61671,0.70694,0.5087,1.14446,1.19388,1.34655,0.0010892,0.0010892,0.0010892
25,726.375,1.02649,1.06788,1.27244,0.74724,0.65251,0.71023,0.50482,1.11561,1.11738,1.34602,0.0010496,0.0010496,0.0010496
26,754.594,1.02122,1.04072,1.26275,0.80698,0.62953,0.71994,0.50488,1.11976,1.13337,1.34961,0.00101,0.00101,0.00101
27,782.964,0.98482,1.02188,1.23432,0.77282,0.64865,0.70482,0.49333,1.11566,1.14262,1.32778,0.0009704,0.0009704,0.0009704
28,811.258,0.99336,0.99423,1.23764,0.86496,0.59459,0.7017,0.49862,1.10191,1.15696,1.3252,0.0009308,0.0009308,0.0009308
29,839.879,1.00583,1.0202,1.2598,0.83139,0.66409,0.72908,0.51181,1.16697,1.10513,1.3654,0.0008912,0.0008912,0.0008912
30,868.435,1.00698,0.99828,1.2426,0.85227,0.60618,0.69092,0.48589,1.18451,1.17882,1.39735,0.0008516,0.0008516,0.0008516
31,896.675,0.98922,0.97062,1.24509,0.80978,0.64102,0.71884,0.50048,1.16377,1.09494,1.36012,0.000812,0.000812,0.000812
32,924.904,0.96313,0.93061,1.22149,0.82621,0.68726,0.74153,0.52242,1.14687,1.05295,1.35998,0.0007724,0.0007724,0.0007724
33,953.465,0.96362,0.91974,1.21616,0.77742,0.67429,0.73644,0.52549,1.05906,1.01329,1.28506,0.0007328,0.0007328,0.0007328
34,982.243,0.91761,0.87511,1.1829,0.8678,0.6834,0.75898,0.52909,1.1227,0.99545,1.36291,0.0006932,0.0006932,0.0006932
35,1010.55,0.91463,0.89973,1.19695,0.81553,0.59073,0.71334,0.50444,1.08692,1.11045,1.29342,0.0006536,0.0006536,0.0006536
36,1039.45,0.91146,0.88948,1.17904,0.86848,0.66288,0.75028,0.55043,1.04674,1.03853,1.27093,0.000614,0.000614,0.000614
37,1067.92,0.90754,0.8687,1.19573,0.80605,0.66795,0.75148,0.53498,1.11487,1.05848,1.33935,0.0005744,0.0005744,0.0005744
